epoch,train_loss,val_loss,val_auc,val_f1,lr,elapsed
1,0.3258,0.5001,0.8459,0.7298,3.00e-04,16
2,0.2139,0.4719,0.8624,0.7500,3.00e-04,9
3,0.2015,0.4625,0.8702,0.7581,3.00e-04,9
4,0.1931,0.4887,0.8702,0.7560,3.00e-04,9
5,0.1868,0.4669,0.8750,0.7616,3.00e-04,9
6,0.1804,0.4907,0.8709,0.7607,3.00e-04,9
7,0.1757,0.4659,0.8763,0.7633,3.00e-04,9
8,0.1704,0.4997,0.8729,0.7631,3.00e-04,9
9,0.1661,0.4921,0.8708,0.7635,3.00e-04,9
10,0.1618,0.5026,0.8710,0.7641,1.50e-04,9
11,0.1504,0.5096,0.8747,0.7683,1.50e-04,9
12,0.1445,0.5304,0.8727,0.7685,1.50e-04,9
