epoch,train_loss,val_loss,val_auc,val_prauc,val_f1,lr,elapsed
1,0.5051,0.4303,0.8841,0.8534,0.7632,1.00e-04,12
2,0.4127,0.3947,0.9062,0.8792,0.7899,1.00e-04,11
3,0.3806,0.3572,0.9200,0.8951,0.8088,1.00e-04,11
4,0.3566,0.3360,0.9295,0.9061,0.8202,1.00e-04,11
5,0.3382,0.3234,0.9377,0.9156,0.8299,1.00e-04,11
6,0.3220,0.3071,0.9438,0.9233,0.8414,1.00e-04,11
7,0.3081,0.2911,0.9486,0.9292,0.8502,1.00e-04,11
8,0.2963,0.2792,0.9524,0.9337,0.8570,1.00e-04,11
9,0.2852,0.2763,0.9555,0.9374,0.8608,1.00e-04,11
10,0.2763,0.2722,0.9580,0.9407,0.8640,1.00e-04,11
11,0.2677,0.2603,0.9606,0.9439,0.8705,1.00e-04,11
12,0.2607,0.2531,0.9627,0.9467,0.8751,1.00e-04,11
13,0.2538,0.2531,0.9638,0.9479,0.8770,1.00e-04,11
14,0.2478,0.2389,0.9653,0.9496,0.8810,1.00e-04,11
15,0.2424,0.2524,0.9669,0.9518,0.8785,1.00e-04,11
16,0.2359,0.2373,0.9683,0.9535,0.8846,1.00e-04,11
17,0.2309,0.2284,0.9692,0.9548,0.8880,1.00e-04,11
18,0.2266,0.2329,0.9703,0.9561,0.8880,1.00e-04,11
19,0.2230,0.2387,0.9708,0.9567,0.8875,1.00e-04,11
20,0.2174,0.2411,0.9714,0.9575,0.8871,1.00e-04,11
21,0.2144,0.2355,0.9718,0.9578,0.8889,1.00e-04,11
22,0.2105,0.2306,0.9725,0.9587,0.8913,1.00e-04,11
23,0.2068,0.2128,0.9738,0.9607,0.8980,1.00e-04,11
24,0.2035,0.2107,0.9741,0.9610,0.8992,1.00e-04,11
25,0.2001,0.2163,0.9746,0.9617,0.8990,1.00e-04,11
26,0.1979,0.2189,0.9750,0.9620,0.8982,1.00e-04,11
27,0.1948,0.2119,0.9757,0.9631,0.9004,1.00e-04,11
28,0.1918,0.2048,0.9760,0.9634,0.9034,1.00e-04,11
29,0.1894,0.2077,0.9764,0.9638,0.9029,1.00e-04,11
30,0.1864,0.2068,0.9767,0.9642,0.9038,1.00e-04,11
31,0.1837,0.2146,0.9768,0.9644,0.9012,1.00e-04,11
32,0.1814,0.2011,0.9775,0.9654,0.9063,1.00e-04,11
33,0.1783,0.1988,0.9777,0.9656,0.9080,1.00e-04,11
34,0.1761,0.2028,0.9778,0.9657,0.9063,1.00e-04,11
35,0.1735,0.2072,0.9781,0.9660,0.9048,1.00e-04,11
36,0.1716,0.2007,0.9785,0.9665,0.9091,1.00e-04,11
37,0.1693,0.2007,0.9786,0.9667,0.9082,1.00e-04,11
38,0.1667,0.2081,0.9790,0.9673,0.9060,1.00e-04,11
39,0.1651,0.1959,0.9793,0.9675,0.9104,1.00e-04,11
40,0.1625,0.2029,0.9792,0.9674,0.9092,1.00e-04,11
